Recensement agricole 2020; ; ; ; ; ; ; 
Référentiel géographique : France  par Commune 2020; ; ; ; ; ; ; 
Code;Libellé;Nombre d’exploitations avec des vaches laitières, 2020;Nombre d’exploitations avec des vaches laitières, 2020 - estimation (*=oui);Nombre moyen de vaches nourrices par exploitation, 2020;Nombre moyen de vaches nourrices par exploitation, 2020 - estimation (*=oui);Nombre moyen de vaches laitières par exploitation, 2020;Nombre moyen de vaches laitières par exploitation, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui);Nombre de vaches nourrices, 2020;Nombre de vaches nourrices, 2020 - estimation (*=oui);Nombre d’exploitations avec des vaches nourrices, 2020;Nombre d’exploitations avec des vaches nourrices, 2020 - estimation (*=oui)
01001;L'Abergement-Clémenciat;3;;N/A - secret statistique;;88;;264;;N/A - secret statistique;;N/A - secret statistique;
01002;L'Abergement-de-Varey;0;;0;;0;;0;;0;;0;
01004;Ambérieu-en-Bugey;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01005;Ambérieux-en-Dombes;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01006;Ambléon;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01007;Ambronay;0;;37;;0;;0;;149;;4;
01008;Ambutrix;0;;0;;0;;0;;0;;0;
01009;Andert-et-Condon;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01010;Anglefort;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01011;Apremont;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01012;Aranc;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01013;Arandas;3;;N/A - secret statistique;;100;;300;;N/A - secret statistique;;N/A - secret statistique;
01014;Arbent;0;;0;;0;;0;;0;;0;
01015;Arboys en Bugey;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01016;Arbigny;N/A - secret statistique;;92;;N/A - secret statistique;;N/A - secret statistique;;367;;4;
01017;Argis;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01019;Armix;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01021;Ars-sur-Formans;0;;0;;0;;0;;0;;0;
01022;Artemare;0;;0;;0;;0;;0;;0;
01023;Asnières-sur-Saône;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01024;Attignat;N/A - secret statistique;;31;;N/A - secret statistique;;N/A - secret statistique;;123;;4;
01025;Bâgé-Dommartin;14;;55;;77;;1080;;497;;9;
01026;Bâgé-le-Châtel;0;;0;;0;;0;;0;;0;
01027;Balan;0;;0;;0;;0;;0;;0;
01028;Baneins;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01029;Beaupont;5;;27;;62;;309;;137;;5;
01030;Beauregard;0;;0;;0;;0;;0;;0;
01031;Bellignat;0;;0;;0;;0;;0;;0;
01032;Béligneux;0;*;0;*;0;*;0;*;0;*;0;*
01033;Valserhône;6;;18;;57;;342;;91;;5;
01034;Belley;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01035;Belleydoux;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01036;Valromey-sur-Séran;7;;22;;46;;322;;109;;5;
01037;Bénonces;N/A - secret statistique;;21;;N/A - secret statistique;;N/A - secret statistique;;124;;6;
01038;Bény;4;;N/A - secret statistique;;111;;443;;N/A - secret statistique;;N/A - secret statistique;
01039;Béon;0;;0;;0;;0;;0;;0;
01040;Béréziat;5;;N/A - secret statistique;;82;;411;;N/A - secret statistique;;N/A - secret statistique;
01041;Bettant;0;;0;;0;;0;;0;;0;
01042;Bey;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01043;Beynost;0;;0;;0;;0;;0;;0;
01044;Billiat;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01045;Birieux;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01046;Biziat;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01047;Blyes;0;;0;;0;;0;;0;;0;
01049;La Boisse;0;;0;;0;;0;;0;;0;
01050;Boissey;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;3;
01051;Bolozon;0;;0;;0;;0;;0;;0;
01052;Bouligneux;N/A - secret statistique;;18;;N/A - secret statistique;;N/A - secret statistique;;73;;4;
01053;Bourg-en-Bresse;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01054;Bourg-Saint-Christophe;0;;0;;0;;0;;0;;0;
01056;Boyeux-Saint-Jérôme;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01057;Boz;N/A - secret statistique;;11;;N/A - secret statistique;;N/A - secret statistique;;34;;3;
01058;Brégnier-Cordon;0;;0;;0;;0;;0;;0;
01060;Brénod;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01061;Brens;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01062;Bressolles;0;;0;;0;;0;;0;;0;
01063;Brion;0;;0;;0;;0;;0;;0;
01064;Briord;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01065;Buellas;3;;0;;101;;302;;0;;0;
01066;La Burbanche;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01067;Ceignes;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01068;Cerdon;0;;0;;0;;0;;0;;0;
01069;Certines;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01071;Cessy;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01072;Ceyzériat;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01073;Ceyzérieu;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01074;Chalamont;5;;28;;48;;239;;111;;4;
01075;Chaleins;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01076;Chaley;0;;0;;0;;0;;0;;0;
01077;Challes-la-Montagne;N/A - secret statistique;;37;;N/A - secret statistique;;N/A - secret statistique;;110;;3;
01078;Challex;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01079;Champagne-en-Valromey;8;;31;;92;;732;;157;;5;
01080;Champdor-Corcelles;3;;43;;70;;210;;213;;5;
01081;Champfromier;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
