Recensement agricole 2020; ; ; ; ; ; ; 
Référentiel géographique : France  par Région 2020; ; ; ; ; ; ; 
Code;Libellé;Nombre d’exploitations avec des vaches laitières, 2020;Nombre d’exploitations avec des vaches laitières, 2020 - estimation (*=oui);Nombre moyen de vaches nourrices par exploitation, 2020;Nombre moyen de vaches nourrices par exploitation, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui);Nombre de vaches nourrices, 2020;Nombre de vaches nourrices, 2020 - estimation (*=oui);Nombre d’exploitations avec des vaches nourrices, 2020;Nombre d’exploitations avec des vaches nourrices, 2020 - estimation (*=oui);Nombre moyen de vaches laitières par exploitation, 2020;Nombre moyen de vaches laitières par exploitation, 2020 - estimation (*=oui)
01;Guadeloupe;0;;4;;0;;14694;;3608;;0;
02;Martinique;12;;7;;117;;5932;;827;;10;
03;Guyane;10;;29;;198;;5204;;177;;20;
04;La Réunion;64;;17;;2923;;8283;;500;;46;
06;Mayotte;50;;4;;382;;3974;;1032;;8;
11;Île-de-France;84;;28;;5346;;4881;;173;;64;
24;Centre-Val de Loire;844;;57;;56638;;183897;;3237;;67;
27;Bourgogne-Franche-Comté;4833;;61;;259526;;467524;;7639;;54;
28;Normandie;7061;;28;;575836;;228756;;8149;;82;
32;Hauts-de-France;4560;;31;;307030;;142322;;4566;;67;
44;Grand Est;4383;;38;;321661;;260308;;6769;;73;
52;Pays de la Loire;7348;;46;;516559;;389727;;8496;;70;
53;Bretagne;9898;;22;;736813;;118869;;5415;;74;
75;Nouvelle Aquitaine;3324;;47;;149662;;841780;;18013;;45;
76;Occitanie;3509;;38;;113345;;497438;;13234;;32;
84;Auvergne-Rhône-Alpes;9991;;41;;435140;;646471;;15600;;44;
93;Provence-Alpes-Côte d'Azur;206;;24;;5142;;18891;;798;;25;
94;Corse;9;;29;;25;;28046;;983;;3;
